Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical
December29,13023787,86552,359287,1609,11610622,1053878,16927
December30,13111455,87668,361087,1800,11696715,1053653,17051
December31,13205602,94147,362733,1646,11753394,1089475,17084
Jan01_2021,13256230,50628,363698,965,11779816,1112716,17160
Jan02_2021,13296233,40003,364483,785,11831568,1100182,17159
Jan03_2021,13334813,38580,365195,712,11904847,1064771,17175
Jan04_2021,13381016,46203,366238,1043,11988358,1026420,18181
Jan05_2021,13476657,95641,367966,1728,12096395,1012296,18172
Jan06_2021,13579425,102768,369906,1940,12193900,1015619,18270
Jan07_2021,13709316,129862,372099,2193,12282413,1054804,18397
Jan07_2021,13709316,129862,372099,2193,12282413,1054804,18397
Jan08_2021,13807053,97737,373874,1775,12334558,1098621,18533
Jan09_2021,13907093,100040,375682,1808,12394377,1137034,18587
Jan10_2021,13972135,65042,376751,1069,12444114,1151270,18668
Jan11_2021,14033622,61487,377916,1160,12509355,1146351,18694
Jan12_2021,14134609,100987,379714,1798,12607653,1147242,18792
Jan13_2021,14237488,102879,381669,1955,12645863,1209956,18908
Jan14_2021,14352900,115412,383592,1923,12749049,1220259,18941
Jan15_2021,14472055,119155,385460,1868,12805844,1280751,18965
Jan16_2021,14581804,109749,387272,1812,12867275,1327257,19038
Jan17_2021,14651441,69316,388476,1204,12933116,1329849,19042
Jan18_2021,14709714,58273,389940,1464,13018790,1300984,19136
Jan19_2021,14813848,104134,392031,2091,13122543,1299274,19175
Jan20_2021,14923924,110076,394217,2186,13205477,1324230,19292
Jan21_2021,15026367,102443,396474,2257,13258231,1371662,19181
Jan22_2021,15124112,97745,398532,2058,13305479,1420101,19453
Jan23_2021,15224703,100591,400633,2101,13372888,1451182,19450
Jan24_2021,15286760,62057,402080,1447,13434023,1450657,19521
Jan25_2021,15341991,55231,403466,1386,13524685,1413840,19489
Jan26_2021,15445794,100021,405757,2181,13654927,1385110,19556
Jan27_2021,15550414,104620,407958,2201,13690820,1451636,19749
Jan28_2021,15649691,99277,410453,2495,13853395,1385843,19632
Jan29_2021,15744661,94970,412505,2052,13928921,1403235,19736
Jan30_2021,15837298,92637,414602,2097,14004458,1418238,19763
Jan31_2021,15892522,55224,415907,1305,14075645,1400970,19805
Feb01_2021,15945333,52811,417433,1526,14163646,1364254,19741
Feb02_2021,16035080,89747,419467,2034,14285090,1330523,19868
Feb03_2021,16125377,90297,421433,1966,14399198,1304746,19851
Feb04_2021,16217177,91800,423622,2189,14489934,1303621,19852
Feb05_2021,16301738,84561,425779,2157,14560593,1315366,19867
Feb06_2021,16382264,80526,427514,1735,14627758,1326992,19849
Feb07_2021,16432736,50472,428741,1227,14696171,1307824,19860
Feb08_2021,16478654,45918,430273,1532,14772679,1275702,19853
Feb09_2021,16556338,77684,432359,2086,14887164,1236815,19897
Feb11_2021,16729721,85919,436835,2404,15064436,1228450,19924
Feb12_2021,16809102,79381,438820,1985,15127337,1242945,19955
Feb13_2021,16881304,72202,440728,1908,15186682,1253894,19937
Feb14_2021,16929828,48524,442037,1309,15255900,1231891,19987
Feb15_2021,16978375,48547,443281,1244,15340060,1195034,19981
Feb16_2021,17053084,74709,444934,1653,15440707,1167443,20054
Feb17_2021,17133912,80828,446841,1907,15523160,1163911,20023
Feb18_2021,17216088,82176,449141,2300,15593171,1173776,20023
Feb19_2021,17295606,79518,451217,2076,15650427,1193962,20068
Feb20_2021,17379643,84037,452933,1716,15713761,1212949,19663
Feb21_2021,17432455,52812,454079,1146,15773267,1205109,19667
Feb22_2021,17480363,47908,455410,1331,15839071,1185882,19635
Feb23_2021,17567872,87509,457406,1996,15939385,1171081,19113
Feb24_2021,17661946,94074,459473,2067,16029883,1172590,19100
Feb25_2021,17760434,98488,461793,2320,16093479,1205162,19097
Feb26_2021,17850574,90140,463718,1925,16149169,1237687,19130
Feb27_2021,17935871,85297,465593,1875,16203849,1266429,18928
Feb28_2021,17991225,55354,466839,1246,16258539,1265847,18955
