Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
Bulgaria,"1,158,354",+435,"36,953",+6,"986,992","134,409",82,"169,042","5,393","9,871,453","1,440,566"
Croatia,"1,124,762","+1,184","15,856",+8,"1,103,572","5,334",17,"277,116","3,907","4,799,675","1,182,530"
Cuba,"1,103,488",+93,"8,527",0,"1,094,267",694,23,"97,534",754,"12,920,253","1,141,977"
Lebanon,"1,097,118",0,"10,392",0,"1,081,770","4,956",186,"162,071","1,535","4,795,578","708,424"
Lithuania,"1,058,999",+216,"9,110",+2,"1,026,835","23,054",28,"399,228","3,434","8,257,933","3,113,126"
Tunisia,"1,040,712",+519,"28,566",+16,0,0,29,"86,398","2,371","4,584,296","380,580"
Finland,"1,023,013",0,"3,939",0,"46,000","973,074",24,"184,111",709,"10,720,282","1,929,318"
Slovenia,"1,012,915","+1,642","6,602",+4,"993,932","12,381",23,"487,104","3,175","2,648,772","1,273,778"
Belarus,"981,070",+202,"6,958",+4,"928,536","45,576",0,"103,887",737,"13,177,291","1,395,365"
Nepal,"978,884",+19,"11,951",0,"966,715",218,0,"32,523",397,"5,646,021","187,586"
New Zealand,"961,262","+8,565",753,+22,"905,645","54,864",0,"192,172",151,"7,091,138","1,417,632"
Bolivia,"905,150",+53,"21,923",0,"859,723","23,504",220,"75,649","1,832","2,700,878","225,728"
UAE,"899,441",+199,"2,302",0,"883,160","13,979",0,"88,968",228,"156,581,508","15,488,266"
Uruguay,"895,775",0,"7,197",0,"886,654","1,924",18,"256,242","2,059","6,091,188","1,742,419"
Ecuador,"869,956",0,"35,598",0,0,0,759,"47,972","1,963","2,470,170","136,213"
Costa Rica,"857,290",0,"8,421",0,"836,721","12,148",42,"165,517","1,626","4,291,131","828,486"
Guatemala,"847,491",+706,"17,636",+14,"827,705","2,150",5,"45,752",952,"4,477,695","241,729"
Latvia,"823,110",0,"5,777",0,"809,733","7,600",8,"445,419","3,126","7,186,387","3,888,855"
Azerbaijan,"792,585",0,"9,709",0,"782,804",72,0,"76,899",942,"6,820,672","661,759"
Panama,"780,148","+1,838","8,189",+1,"764,020","7,939",8,"175,733","1,845","5,897,952","1,328,548"
Saudi Arabia,"754,464",+124,"9,094",+1,"742,127","3,243",50,"21,069",254,"41,930,549","1,170,960"
Sri Lanka,"663,469",+43,"16,507",+1,"646,134",828,0,"30,747",765,"6,486,117","300,589"
Paraguay,"649,455",0,"18,870",0,"624,673","5,912",2,"89,048","2,587","2,623,300","359,686"
Kuwait,"631,409",0,"2,555",0,"628,090",764,8,"143,945",582,"8,007,805","1,825,573"
Myanmar,"612,951",+27,"19,434",0,"591,894","1,623",0,"11,129",353,"7,989,608","145,057"
Palestine,"581,940",0,"5,353",0,"576,242",345,17,"109,409","1,006","3,078,533","578,785"
Dominican Republic,"579,572",+129,"4,376",0,"574,824",372,1,"52,462",396,"3,283,648","297,229"
Estonia,"572,434",0,"2,548",0,"511,857","58,029",3,"430,994","1,918","3,329,716","2,506,992"
Bahrain,"570,103",+376,"1,476",0,"565,516","3,111",2,"314,968",815,"9,733,630","5,377,598"
Venezuela,"522,564",+14,"5,709",0,"515,819","1,036",230,"18,473",202,"3,359,014","118,743"
Moldova,"516,986",0,"11,489",0,"504,142","1,355",49,"128,707","2,860","3,216,305","800,721"
Egypt,"515,645",0,"24,613",0,"442,182","48,850",122,"4,870",232,"3,693,367","34,884"
Libya,"501,904",0,"6,430",0,"490,973","4,501",101,"71,265",913,"2,477,219","351,740"
Cyprus,"474,267",0,"1,020",0,"124,370","348,877",60,"387,635",834,"9,477,138","7,746,000"
Ethiopia,"470,647",+38,"7,510",0,"455,716","7,421",5,"3,916",62,"4,800,646","39,943"
Mongolia,"469,885",0,"2,179",0,"313,256","154,450",192,"139,219",646,"4,030,048","1,194,033"
Honduras,"423,794",+19,"10,895",0,"132,358","280,541",105,"41,574","1,069","1,358,559","133,275"
Armenia,"422,877",+3,"8,622",0,"412,026","2,229",0,"142,220","2,900","3,059,332","1,028,898"
Oman,"389,126",0,"4,258",0,"384,243",625,4,"72,804",797,"25,000,000","4,677,399"
Bosnia and Herzegovina,"377,087",0,"15,765",0,"192,218","169,104",0,"116,264","4,861","1,758,191","542,087"
Réunion,"374,295",0,742,0,"355,605","17,948",10,"412,656",818,"1,603,660","1,768,019"
Qatar,"364,826",+48,677,0,"363,645",504,3,"129,933",241,"3,452,650","1,229,662"
Kenya,"323,806",+10,"5,649",0,"318,034",123,0,"5,788",101,"3,605,860","64,455"
Zambia,"319,755",0,"3,976",0,"315,266",513,1,"16,543",206,"3,429,405","177,430"
North Macedonia,"309,925",+135,"9,283",+1,"300,021",621,0,"148,772","4,456","2,025,083","972,094"
Botswana,"305,859",0,"2,688",0,"303,026",145,1,"125,417","1,102","2,026,898","831,126"
Albania,"275,211",+20,"3,496",0,"271,424",291,2,"95,825","1,217","1,808,952","629,851"
Algeria,"265,782",0,"6,875",0,"178,358","80,549",6,"5,867",152,"230,861","5,096"
Nigeria,"255,766",0,"3,143",0,"249,914","2,709",11,"1,187",15,"5,075,820","23,552"
Zimbabwe,"248,050",+60,"5,471",+1,"241,899",680,12,"16,255",359,"2,264,510","148,396"
Luxembourg,"240,132",+797,"1,068",+4,"229,649","9,415",1,"372,492","1,657","4,234,646","6,568,765"
Uzbekistan,"238,636",+8,"1,637",0,"236,765",234,23,"6,945",48,"1,377,915","40,103"
Montenegro,"235,484",+81,"2,716",0,"232,117",651,6,"374,848","4,323","2,456,137","3,909,726"
Mozambique,"225,400",+13,"2,201",0,"223,155",44,13,"6,859",67,"1,314,422","39,999"
Laos,"208,111",+263,745,0,"7,660","199,706",0,"27,862",100,"1,232,128","164,959"
