Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical
August14,6448630,73765,244281,1858,3515768,2688581,24253
August15,6513183,64553,246055,1774,3553783,2713345,24199
August16,6560779,47596,247307,1252,3581769,2731703,24250
August17,6614485,48923,248201,895,3640340,2725944,21806
August18,6665683,51250,249930,1728,3686703,2729050,21608
August19,6721661,55978,252051,2121,3746496,2723114,21626
August20,6777312,55651,253950,1899,3788035,2735327,21452
August21,6839985,62673,256460,1904,3828309,2755216,21460
August22,6895620,54763,258066,1606,3857295,2780259,21407
August23,6939531,43911,259213,1147,3883524,2796794,21320
August24,6988860,49310,260044,816,3944036,2784780,20850
August25,7038135,49275,261762,1718,3988285,2788088,20894
August26,7092426,54291,263785,2063,4056315,2772326,20901
August27,7149275,56866,265685,1900,4098655,2784935,20587
August28,7210608,61333,267457,1772,4134346,2808805,20528
August29,7264444,53836,269074,1617,4176213,2819157,20291
August30,7307603,42982,270175,1101,4199586,2837842,20362
August31,7355684,48081,271131,956,4237133,2847420,19966
September01,7409840,50360,272663,1532,4285469,2851708,19195
September02,7454665,52870,274656,2019,4343631,2836378,19416
September03,7509771,55106,276460,1804,4381034,2852277,19251
September04,7573830,63099,278117,1637,4449794,2845919,19182
September05,7628304,53191,279475,1338,4529051,2819778,19141
September06,7666452,40160,280443,968,4555070,2830939,18726
September07,7700617,33071,281049,608,4594724,2824844,18564
September08,7738305,37593,281883,834,4641489,2814933,18398
September09,7785288,46983,283877,1994,4699286,2802125,18666
September10,7833737,48572,285679,1803,4741974,2806084,18471
September11,7893281,57004,287405,1727,4788746,2817130,18301
September12,7943669,50388,288729,1324,4830637,2824303,18330
September13,7984741,41071,289591,862,4863080,2832070,18078
September14,8035635,47165,290389,781,4924045,2821201,17856
September15,8082950,44904,291898,1509,4973005,2818047,17868
September16,8132806,49856,293755,1857,5033393,2805658,17913
September17,8189703,56894,295027,1286,5080068,2814608,17952
September18,8250076,60373,296309,1282,5125748,2828019,17716
September19,8302186,53181,297711,1406,5165910,2838565,17716
September20,8348310,42088,298530,819,5200661,2849119,17676
September21,8399443,44870,299256,705,5258427,2841760,17504
September22,8460742,45274,300535,1283,5315418,2844789,17602
September23,8512356,51614,302389,1844,5376789,2833178,17715
September24,8568501,55582,304004,1612,5423990,2840507,17804
September25,8638644,65059,305500,1489,5476090,2857054,17719
September26,8692837,54022,306749,1249,5527828,2858260,17741
September27,8736245,43408,307487,738,5570616,2858142,17651
September28,8786521,46696,308104,603,5628105,2850312,17337
September29,8839682,52853,309339,1235,5675976,2854367,17425
September30,8892486,52597,310964,1625,5742192,2839330,17669
October01,8951035,58549,312476,1512,5788568,2849991,17519
October02,9016991,62707,313949,1473,5839647,2863395,17532
October03,9079746,60140,315243,1296,5892228,2872275,17585
October04,9124721,42975,316030,785,5930597,2878094,17414
October05,9178572,52695,316774,744,5990167,2871631,17587
October06,9256924,54212,320464,1080,6040563,2895897,17807
October07,9321751,60064,322001,1505,6096419,2903331,17922
October08,9390894,68256,323424,1426,6147777,2919693,17998
October09,9463651,72599,324791,1367,6215108,2923752,18247
October10,9529741,65939,326021,1230,6250486,2953234,18184
October11,9582197,50683,326539,518,6296143,2959515,18206
October12,9636283,53035,327087,535,6359354,2949842,18203
October13,9700142,63074,328225,1124,6410975,2960942,18413
October14,9771502,71263,329741,1517,6472445,2969316,18549
October15,9848738,77093,331211,1470,6524491,2993036,18869
October16,9932947,83933,332633,1423,6610393,2989921,18918
October17,10000325,67223,333803,1170,6656781,3009741,18967
October18,10055575,55057,334668,865,6690047,3030860,18968
October19,10135455,67424,335348,619,6744617,3055490,19082
October20,10209281,71441,336532,1174,6796747,3076002,19212
October21,10286103,75973,338445,1878,6862820,3084838,19193
October22,10377656,89022,340054,1610,6926257,3111345,19418
October23,10476226,94478,341518,1464,6979973,3154735,19854
October24,10570049,92293,342815,1297,7032540,3194694,20073
October25,10641987,71580,343772,957,7072835,3225380,20080
October26,10727558,80780,344576,782,7144167,3238815,20331
October27,10814521,86788,345965,1389,7198618,3269938,20459
October28,10910319,94658,347758,1777,7263452,3299109,20600
October29,11014935,103791,349423,1665,7323881,3341631,20664
October30,11132276,115272,350965,1548,7376470,3404841,20855
October31,11231333,99057,352489,1525,7424581,3454263,20916
November01,11313598,81884,353425,936,7474977,3485196,20889
November02,11418321,99250,354168,728,7552798,3511355,21262
November03,11554713,105870,356158,1545,7629712,3568843,21501
November04,11675687,120536,357960,1815,7696903,3620824,21731
November05,11807305,131086,359850,1891,7756113,3691342,21850
November06,11960330,146616,361791,1914,7817698,3780841,21991
November07,12098190,137825,363477,1689,7877737,3856976,22155
November08,12216975,116008,364546,1070,7928114,3924315,22207
November09,12364294,138796,365544,947,8008980,3989770,22703
November10,12515165,149267,367229,1680,8068787,4079149,22903
November11,12678207,156483,369554,2206,8125980,4182673,22199
November12,12861426,178834,371473,1922,8219130,4270823,23086
November13,13067017,198690,373630,2162,8291984,4401403,36118
November14,13243281,171761,375639,1990,8404155,4463487,24370
November15,13397038,151845,377015,1379,8459158,4560865,24663
November16,13581693,175051,378172,1137,8555863,4647658,25156
November17,13750102,168239,380221,2061,8635346,4734535,25753
November18,13939185,184699,382590,2326,8726081,4830514,26194
November19,14149274,205426,385331,2734,8814474,4949469,26462
November20,14370011,217800,388035,2705,8900488,5081488,26764
November21,14558366,188355,390326,2292,8998610,5169430,27013
November22,14711167,151389,391864,1498,9057924,5261379,27194
November23,14920860,190112,393298,1394,9168001,5359561,27752
November24,15115749,192283,395929,2614,9268519,5451301,27667
November25,15319284,201600,399216,3265,9451101,5468967,28215
November26,15452133,130420,401579,2329,9506294,5544260,28954
November27,15677210,183412,403840,2159,9620506,5652864,29037
November28,15855164,165316,405835,1986,9722748,5726581,29256
November29,16013876,156550,407349,1515,9804095,5802432,29437
November30,16203037,178912,408973,1582,9935591,5858473,29995
December01,16407717,198388,412042,3036,10059270,5936405,30398
December02,16634030,224391,415926,3829,10202766,6015338,30889
December03,16879733,243151,419859,3889,10320429,6139445,30899
December04,17140751,258951,423352,3490,10437597,6279802,30894
December05,17374965,232114,426465,3089,10583307,6365193,31004
December06,17573188,195980,428261,1791,10665489,6479438,31202
December07,17805387,219314,430308,1981,10819990,6555089,31205
December08,18046461,227823,433793,3474,10943754,6668914,31550
December09,18297662,249946,438073,4260,11101325,6758264,32035
December10,18541434,243522,442060,3984,11224086,6875288,32311
December11,18822590,271558,446028,3929,11419413,6957149,32337
December12,19100525,244581,449211,3172,11574490,7076824,32576
December13,19310832,210307,451415,2206,11670466,7188951,32678
December14,19538983,219259,453520,2067,11839778,7245685,32921
December15,19757891,217965,457078,3557,11997226,7303587,33402
December16,20032682,273105,461675,4579,12182580,7388427,33711
December17,20289382,255213,465886,4189,12322593,7500903,33602
December18,20575831,279602,469743,3735,12449235,7656853,33544
December19,20790170,214339,473252,3509,12618773,7698145,33521
December20,21005623,208865,475547,2241,12713193,7816883,33544
December21,21230166,218482,477957,2360,12911932,7840277,33596
December22,21459462,217464,482621,3983,13076349,7900492,33938
December23,21718898,259254,487192,4578,13252754,7978952,34305
December24,21938561,219107,491071,3879,13389863,8057627,34348
December25,22055183,116622,493196,2125,13441922,8120065,34219
December26,22298538,180278,495661,2215,13611123,8191754,34137
December27,22458468,147670,497297,1634,13717790,8243381,34231
December28,22683412,200712,500032,2609,13939967,8243413,34477
December29,22904192,219654,504206,4175,14114886,8285100,34716
December30,23172587,263617,509617,5092,14290596,8372374,34905
December31,23430817,257980,514352,4736,14436182,8480283,34815
Jan01_2021,23621874,185409,517565,3112,14498680,8605629,35027
Jan02_2021,23931876,254592,520685,2990,14702435,8708756,34910
Jan03_2021,24162115,215737,522648,1954,14799479,8839988,35027
Jan04_2021,24425645,211741,525388,2649,15125508,8774749,35276
Jan05_2021,24673526,247873,529731,4345,15268176,8875619,35551
Jan06_2021,24979763,289811,535381,5424,15450918,8993464,34925
Jan07_2021,25290347,310346,541075,5694,15590496,9158776,34885
Jan07_2021,25290347,310346,541075,5694,15590496,9158776,34885
Jan08_2021,25641715,333130,546328,5215,15727191,9368196,35003
Jan09_2021,25916151,280480,550965,4497,15880171,9485015,34890
Jan10_2021,26163369,243220,554118,3150,15989197,9620054,34823
Jan11_2021,26414734,238394,556846,2685,16208672,9649216,34748
Jan12_2021,26670045,252085,562351,5414,16369126,9738568,35156
Jan13_2021,26943067,267375,568072,5678,16550120,9824875,35203
Jan14_2021,27211099,266420,573758,5689,16710469,9926872,36606
Jan15_2021,27491790,278614,578849,5107,16850738,10062203,36316
Jan16_2021,27731244,238297,583615,4738,16991109,10156520,36169
Jan17_2021,27942738,209947,587031,3319,17100085,10255622,36052
Jan18_2021,28109330,165126,589164,2103,17247463,10272703,35862
Jan19_2021,28312991,194639,592888,3629,17510414,10209689,35947
Jan20_2021,28534564,220864,599203,6315,17721170,10214191,35999
Jan21_2021,28766037,227827,605421,6201,17880321,10280295,35409
Jan22_2021,28995429,227501,611452,6025,18028315,10355662,35093
Jan23_2021,29205194,205844,616639,5156,18162154,10426401,34749
Jan24_2021,29370979,165631,620156,3506,18265661,10485162,34214
Jan25_2021,29552688,173399,622852,2666,18502160,10427676,33939
Jan26_2021,29722103,168050,627863,4996,18680951,10413289,33569
Jan27_2021,29905384,180051,633935,5927,18882455,10388994,33577
Jan28_2021,30107242,192207,640085,5810,19035710,10431447,33355
Jan29_2021,30310784,199089,645539,5427,19192224,10473021,32827
Jan30_2021,30482370,168030,650173,4591,19348558,10483639,32370
Jan31_2021,30618368,132467,653756,3574,19445513,10519099,32184
Feb01_2021,30779693,141629,656398,2589,19693060,10430235,31726
Feb02_2021,30910192,129181,660801,4392,19839369,10410022,31537
Feb03_2021,31046953,127110,665570,4694,20017015,10364368,31255
Feb04_2021,31193361,144602,672647,5542,20167621,10353093,30960
Feb05_2021,31350697,150027,678269,5477,20304496,10367932,30335
Feb06_2021,31485541,128515,682690,4328,20447981,10354870,30150
Feb07_2021,31597905,110247,685772,3017,20553453,10358680,29671
Feb08_2021,31701654,100713,687850,2080,20735429,10278375,29174
Feb09_2021,31812653,107224,691955,4003,20884442,10236256,29190
Feb11_2021,32054503,123480,702584,4602,21217008,10134911,27575
Feb12_2021,32178954,119699,709857,4582,21347754,10121343,26656
Feb13_2021,32287519,104457,714895,3767,21477709,10094915,26270
Feb14_2021,32367603,79875,717367,2472,21564470,10085766,26070
Feb15_2021,32433659,61531,718938,1487,21711006,10003715,25598
Feb16_2021,32509873,76095,721352,2413,21854160,9934361,25331
Feb17_2021,32598096,87557,725359,3991,21988819,9883918,24841
Feb18_2021,32687457,87936,729383,4020,22113341,9844733,24745
Feb19_2021,32783686,95748,733066,3683,22229356,9821264,24279
Feb20_2021,32901682,84933,736183,2895,22339182,9826317,23816
Feb21_2021,32974707,71273,738414,2218,22426225,9810068,23588
Feb22_2021,33047302,70180,740318,1807,22583269,9723715,23159
Feb23_2021,33129920,82192,743315,2998,22710849,9675756,22944
Feb24_2021,33221261,91341,748042,3922,22838381,9634838,22690
Feb25_2021,33315415,93572,751622,3572,22949133,9614660,22490
Feb26_2021,33417616,98137,754957,3284,23064999,9597660,22077
Feb27_2021,33496334,78443,757419,2463,23171613,9567302,21643
Feb28_2021,33564819,65377,759424,2181,23244219,9561176,21321
Mar01_2021,33630653,62615,761421,1981,23383247,9485985,21083
Mar02_2021,33697772,67087,763966,2546,23486495,9447311,21597
Mar03_2021,33798919,82309,767584,3529,23597690,9433645,20877
Mar04_2021,33883734,83278,770686,3034,23701569,9411479,20461
Mar05_2021,33966046,82312,773425,2743,23804579,9388042,20133
Mar06_2021,34039556,71534,775764,2298,23906652,9357140,19930
Mar07_2021,34093972,54397,777344,1570,23980600,9336028,19629
Mar08_2021,34152146,54888,778468,1122,24104105,9269573,19411
Mar09_2021,34219804,65028,780859,2139,24218080,9220865,19244
Mar10_2021,34295501,75434,783453,2587,24320558,9191490,19156
Mar11_2021,34373781,76679,785921,2385,25377121,8210739,19058
Mar12_2021,34456963,81561,788358,2253,25734440,7934165,18232
Mar13_2021,34520489,62094,790213,1831,25823042,7907234,17828
