Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical
August20,6023765,95864,126475,1555,4716917,1180373,19114
August21,6119171,95848,127484,1455,4805164,1186523,19027
August22,6214847,95676,128908,1424,4885598,1200341,19010
August23,6298263,83416,130241,1333,4980254,1187768,19004
August24,6383857,85594,131607,1366,5073372,1178878,19017
August25,6475609,91743,133307,1592,5161178,1181124,18929
August26,6578832,103223,134898,1591,5242169,1201765,18894
August27,6681895,103091,136552,1654,5325188,1220155,18861
August28,6785167,103272,138143,1591,5413183,1233841,18637
August29,6888876,103709,139634,1491,5498285,1250957,18900
August30,6992409,103533,141167,1533,5599525,1251717,18826
August31,7086139,93719,142482,1315,5684423,1259234,18805
September01,7188489,102350,144087,1605,5768110,1276292,18795
September02,7297497,109008,145652,1565,5855737,1296108,18830
September03,7409235,111738,147334,1682,5946766,1315135,18907
September04,7524220,114985,148923,1589,6038575,1336722,18984
September05,7640857,116637,150507,1584,6133198,1357152,18965
September06,7757327,116470,152119,1612,6252365,1352843,19082
September07,7857642,100336,153760,1641,6349183,1354699,19177
September08,7976022,118380,155451,1651,6445952,1374619,19211
September09,8100485,124463,157216,1765,6540320,1402949,19228
September10,8228296,127811,159067,1851,6635227,1434002,19238
September11,8356160,127864,160763,1696,6738081,1457316,19307
September12,8481528,125368,162532,1769,6837629,1481367,19369
September13,8603263,121735,164250,1718,6956706,1482307,19369
September14,8716941,113678,166139,1889,7060846,1489956,19438
September15,8838717,121776,168063,1892,7167324,1503330,19531
September16,8970989,132272,169883,1820,7275532,1525574,19597
September17,9099786,128797,171714,1831,7387944,1540128,19610
September18,9224236,124450,173549,1835,7508847,1541840,19609
September19,9348503,124267,175387,1838,7628969,1544147,19640
September20,9468134,119631,177173,1786,7764180,1526781,19704
September21,9572709,104577,178842,1669,7891802,1502065,19725
September22,9682926,110253,180585,1719,8005294,1497047,19843
September23,9813329,130403,182441,1856,8123073,1507815,19864
September24,9935950,122621,184241,1800,8230490,1521219,20592
September25,10055253,119303,186029,1788,8351247,1517977,20699
September26,10181287,126034,187828,1799,8469448,1524011,20758
September27,10295891,114604,189522,1694,8587894,1518475,20809
September28,10394591,98711,190952,1430,8700408,1503231,20725
September29,10507108,112517,192884,1909,8811052,1503172,20724
September30,10632131,125023,194760,1876,8925961,1511410,20736
October01,10751760,119629,196535,1775,9031847,1523378,20774
October02,10867593,115833,198280,1745,9136537,1532776,20719
October03,10977475,109882,199854,1574,9247317,1530304,20706
October04,11085929,108454,201504,1650,9369396,1515029,20788
October05,11181361,95432,203126,1622,9476123,1502112,20729
October06,11289665,108304,204846,1702,9589209,1495610,20707
October07,11406756,117091,206560,1714,9699605,1500591,20749
October08,11515604,108848,208357,1797,9808598,1498649,20805
October09,11622041,106437,209991,1634,9918225,1493825,20814
October10,11731116,109075,211628,1637,10030185,1489303,20862
October11,11830219,99103,213232,1604,10146284,1470703,20898
October12,11920081,89862,214653,1421,10256192,1449236,20945
October13,12019890,99902,216126,1454,10363185,1440579,21014
October14,12124169,104279,217665,1539,10477372,1429132,20786
October15,12223296,99127,219276,1611,10579463,1424557,20817
October16,12326972,103676,220873,1597,10683172,1422927,20861
October17,12424241,97269,222689,1816,10782688,1418864,20892
October18,12515065,90824,224030,1341,10891147,1399888,20783
October19,12597333,82355,225489,1462,10996947,1374897,20809
October20,12688517,91177,227026,1513,11088967,1372524,20937
